代码,行业板块,Nasdaq板块,细分行业,数据源,分类快照UTC
AUR,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AURA,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
AURE,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AUUD,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVAH,医疗保健,Health Care,Medical/Nursing Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVAT,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVAV,工业,Industrials,Aerospace,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVBH,金融,Finance,Commercial Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVBP,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVGO,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVIR,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVLN,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVNW,信息技术,Technology,Radio And Television Broadcasting And Communications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVO,必需消费,Consumer Staples,Farming/Seeds/Milling,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVPT,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVR,医疗保健,Health Care,Industrial Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVT,信息技术,Technology,Electronic Components,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVTX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AVXL,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
AWRE,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
AXGN,医疗保健,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Nasdaq screener download,2026-08-09T14:32:06+00:00
AXIN,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
AXON,工业,Industrials,Ordnance And Accessories,Nasdaq screener download,2026-08-09T14:32:06+00:00
AXSM,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AXTI,信息技术,Technology,Semiconductors,Nasdaq screener download,2026-08-09T14:32:06+00:00
AYTU,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
AZI,非必需消费,Consumer Discretionary,Automotive Aftermarket,Nasdaq screener download,2026-08-09T14:32:06+00:00
AZIO,非必需消费,Consumer Discretionary,Auto Parts:O.E.M.,Nasdaq screener download,2026-08-09T14:32:06+00:00
BACC,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BAER,工业,Industrials,Aerospace,Nasdaq screener download,2026-08-09T14:32:06+00:00
BAFN,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BAND,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BANF,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BANL,能源,Energy,Oil Refining/Marketing,Nasdaq screener download,2026-08-09T14:32:06+00:00
BANR,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BANX,金融,Finance,Trusts Except Educational Religious and Charitable,Nasdaq screener download,2026-08-09T14:32:06+00:00
BAOS,非必需消费,Consumer Discretionary,Business Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BATRA,非必需消费,Consumer Discretionary,Services-Misc. Amusement & Recreation,Nasdaq screener download,2026-08-09T14:32:06+00:00
BATRK,非必需消费,Consumer Discretionary,Services-Misc. Amusement & Recreation,Nasdaq screener download,2026-08-09T14:32:06+00:00
BBCP,非必需消费,Consumer Discretionary,Engineering & Construction,Nasdaq screener download,2026-08-09T14:32:06+00:00
BBGI,非必需消费,Consumer Discretionary,Broadcasting,Nasdaq screener download,2026-08-09T14:32:06+00:00
BBIO,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BBLG,医疗保健,Health Care,Industrial Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
BBNX,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
BBOT,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BBSI,非必需消费,Consumer Discretionary,Professional Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCAB,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BCAL,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCAR,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCAX,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCBP,金融,Finance,Savings Institutions,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCDA,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BCG,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCIC,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCML,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCPC,工业,Industrials,Major Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
BCRX,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BDCI,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BDSX,医疗保健,Health Care,Medical Specialities,Nasdaq screener download,2026-08-09T14:32:06+00:00
BDTX,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BEAM,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BEAT,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
BEEP,金融,Finance,Real Estate,Nasdaq screener download,2026-08-09T14:32:06+00:00
BENF,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BETR,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BFC,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BFRG,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BFRI,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BFST,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BGC,金融,Finance,Investment Bankers/Brokers/Service,Nasdaq screener download,2026-08-09T14:32:06+00:00
BGDE,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BGIN,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BGL,原材料,Basic Materials,Metal Mining,Nasdaq screener download,2026-08-09T14:32:06+00:00
BGLC,医疗保健,Health Care,Medical Specialities,Nasdaq screener download,2026-08-09T14:32:06+00:00
BGM,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BGMS,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BHAV,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BHRB,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BIAF,医疗保健,Health Care,Biotechnology: Commercial Physical & Biological Resarch,Nasdaq screener download,2026-08-09T14:32:06+00:00
BIIB,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BIOA,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BIOX,工业,Industrials,Agricultural Chemicals,Nasdaq screener download,2026-08-09T14:32:06+00:00
BIRD,非必需消费,Consumer Discretionary,Apparel,Nasdaq screener download,2026-08-09T14:32:06+00:00
BIVI,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BIYA,非必需消费,Consumer Discretionary,Diversified Commercial Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BJDX,医疗保健,Health Care,Medical/Dental Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
BJRI,非必需消费,Consumer Discretionary,Restaurants,Nasdaq screener download,2026-08-09T14:32:06+00:00
BKHA,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BKNG,非必需消费,Consumer Discretionary,Transportation Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BKR,非必需消费,Consumer Discretionary,Oil and Gas Field Machinery,Nasdaq screener download,2026-08-09T14:32:06+00:00
BKYI,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BL,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLBD,非必需消费,Consumer Discretionary,Construction/Ag Equipment/Trucks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLFS,医疗保健,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLIN,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLKB,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLLN,医疗保健,Health Care,Medical Specialities,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLMN,非必需消费,Consumer Discretionary,Restaurants,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLNE,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLZE,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BLZR,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BMBL,信息技术,Technology,Computer Software: Programming Data Processing,Nasdaq screener download,2026-08-09T14:32:06+00:00
BMEA,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BMGL,医疗保健,Health Care,Medical/Nursing Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BMHL,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BMRA,医疗保健,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Nasdaq screener download,2026-08-09T14:32:06+00:00
BMRC,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BMRN,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BNAI,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BNC,必需消费,Consumer Staples,Farming/Seeds/Milling,Nasdaq screener download,2026-08-09T14:32:06+00:00
BNGO,工业,Industrials,Biotechnology: Laboratory Analytical Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
BNKK,非必需消费,Consumer Discretionary,Package Goods/Cosmetics,Nasdaq screener download,2026-08-09T14:32:06+00:00
BNRG,工业,Industrials,Building Products,Nasdaq screener download,2026-08-09T14:32:06+00:00
BNTC,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BODI,非必需消费,Consumer Discretionary,Other Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOF,必需消费,Consumer Staples,Packaged Foods,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOKF,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOLD,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOLT,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BON,医疗保健,Health Care,Medicinal Chemicals and Botanical Products,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOOM,工业,Industrials,Industrial Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOSC,通信服务,Telecommunications,Computer Communications Equipment,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOTJ,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BOXL,房地产,Real Estate,Other Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BPOP,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BPRN,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRAI,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRCB,非必需消费,Consumer Discretionary,Restaurants,Nasdaq screener download,2026-08-09T14:32:06+00:00
BREZ,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRFH,必需消费,Consumer Staples,Packaged Foods,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRID,必需消费,Consumer Staples,Specialty Foods,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRKH,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRKR,工业,Industrials,Biotechnology: Laboratory Analytical Instruments,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRLT,非必需消费,Consumer Discretionary,Consumer Specialties,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRR,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRTX,医疗保健,Health Care,Managed Health Care,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRUN,信息技术,Technology,EDP Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BRZE,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSAA,金融,Finance,Blank Checks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSBK,金融,Finance,Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSET,非必需消费,Consumer Discretionary,Home Furnishings,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSIN,能源,Energy,Oil & Gas Production,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSP,信息技术,Technology,Computer Software: Programming Data Processing,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSRR,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSVN,金融,Finance,Major Banks,Nasdaq screener download,2026-08-09T14:32:06+00:00
BSY,信息技术,Technology,Computer Software: Prepackaged Software,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTAI,医疗保健,Health Care,Biotechnology: Pharmaceutical Preparations,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTBD,非必需消费,Consumer Discretionary,Restaurants,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTBT,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTCS,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTCT,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTDR,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTMD,医疗保健,Health Care,Medicinal Chemicals and Botanical Products,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTOC,非必需消费,Consumer Discretionary,Office Equipment/Supplies/Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTOG,金融,Finance,Finance: Consumer Services,Nasdaq screener download,2026-08-09T14:32:06+00:00
BTTC,医疗保健,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Nasdaq screener download,2026-08-09T14:32:06+00:00
BULL,金融,Finance,Investment Bankers/Brokers/Service,Nasdaq screener download,2026-08-09T14:32:06+00:00
